Company,Category,Scale
NVIDIA,Testing,75
NVIDIA,DevOps Engineer,80
NVIDIA,Python Developer,85
NVIDIA,Web Designing,75
NVIDIA,HR,85
NVIDIA,Hadoop,65
NVIDIA,Blockchain,70
NVIDIA,ETL Developer,75
NVIDIA,Operations Manager,85
NVIDIA,Data Analyst,80
NVIDIA,Sales,85
NVIDIA,Mechanical Engineer,65
NVIDIA,Arts,80
NVIDIA,Database,85
NVIDIA,Electrical Engineering,75
NVIDIA,Health and fitness,80
NVIDIA,PMO,80
NVIDIA,Business Analyst,85
NVIDIA,DotNet Developer,75
NVIDIA,Automation Testing,80
NVIDIA,Network Security Engineer,75
NVIDIA,SAP Developer,85
NVIDIA,Civil Engineer,85
NVIDIA,Advocate,85
Amazon,Java Developer,85
Amazon,Testing,75
Amazon,DevOps Engineer,80
Amazon,Python Developer,85
Amazon,Web Designing,75
Amazon,HR,85
Amazon,Hadoop,65
Amazon,Blockchain,70
Amazon,ETL Developer,75
Amazon,Operations Manager,85
Amazon,Data Analyst,80
Amazon,Sales,85
Amazon,Mechanical Engineer,65
Amazon,Arts,80
Amazon,Database,85
Amazon,Electrical Engineering,75
Amazon,Health and fitness,80
Amazon,PMO,80
Amazon,Business Analyst,85
Amazon,DotNet Developer,75
Amazon,Automation Testing,80
Amazon,Network Security Engineer,75
Amazon,SAP Developer,85
Amazon,Civil Engineer,85
Amazon,Advocate,85
Google,Java Developer,90
Google,Testing,80
Google,DevOps Engineer,85
Google,Python Developer,90
Google,Web Designing,80
Google,HR,90
Google,Hadoop,70
Google,Blockchain,75
Google,ETL Developer,80
Google,Operations Manager,90
Google,Data Analyst,85
Google,Sales,90
Google,Mechanical Engineer,70
Google,Arts,85
Google,Database,90
Google,Electrical Engineering,80
Google,Health and fitness,85
Google,PMO,85
Google,Business Analyst,90
Google,DotNet Developer,80
Google,Automation Testing,85
Google,Network Security Engineer,80
Google,SAP Developer,90
Google,Civil Engineer,90
Google,Advocate,90
MicroSoft,Java Developer,85
MicroSoft,Testing,75
MicroSoft,DevOps Engineer,80
MicroSoft,Python Developer,85
MicroSoft,Web Designing,75
MicroSoft,HR,85
MicroSoft,Hadoop,65
MicroSoft,Blockchain,70
MicroSoft,ETL Developer,75
MicroSoft,Operations Manager,85
MicroSoft,Data Analyst,80
MicroSoft,Sales,85
MicroSoft,Mechanical Engineer,65
MicroSoft,Arts,80
MicroSoft,Database,85
MicroSoft,Electrical Engineering,75
MicroSoft,Health and fitness,80
MicroSoft,PMO,80
MicroSoft,Business Analyst,85
MicroSoft,DotNet Developer,75
MicroSoft,Automation Testing,80
MicroSoft,Network Security Engineer,75
MicroSoft,SAP Developer,85
MicroSoft,Civil Engineer,85
MicroSoft,Advocate,85
HP,Java Developer,80
HP,Testing,70
HP,DevOps Engineer,75
HP,Python Developer,80
HP,Web Designing,70
HP,HR,80
HP,Hadoop,60
HP,Blockchain,65
HP,ETL Developer,70
HP,Operations Manager,80
HP,Data Analyst,75
HP,Sales,80
HP,Mechanical Engineer,60
HP,Arts,75
HP,Database,80
HP,Electrical Engineering,70
HP,Health and fitness,75
HP,PMO,75
HP,Business Analyst,80
HP,DotNet Developer,70
HP,Automation Testing,75
HP,Network Security Engineer,70
HP,SAP Developer,80
HP,Civil Engineer,80
HP,Advocate,80
